DIVISION_ID,ID,TYPE,ACRONYM,LABEL,MEMBER_OF_COALITION,COALITION_MEMBERS
BE,BE01,PARTY,PS,Parti Socialiste,,
BE,BE02,PARTY,SP,Socialistische Partij,,
BE,BE03,PARTY,CVP-EVP,Christelijke Volkspartij - Christen-Democratisch en Vlaams,,
BE,BE04,PARTY,PSC-PPE,Parti Social Chrétien - Centre Démocrate Humaniste,,
BE,BE05,PARTY,PRL,"Parti Réformateur Libéral ",,
BE,BE06,PARTY,PVV-ELD,Partij voor Vrijheid en Vooruitgang-Open Vlaamse Liberalen en Democraten,,
BE,BE07,PARTY,VU,Volksunie,,
BE,BE08,PARTY,Agalev,Anders Gaan Leven,,
BE,BE09,PARTY,Ecolo-V,Ecologistes Confédérés pour I’organisation de luttes originales,,
BE,BE90,PARTY,Other parties F.,Other parties from Dutch-speaking electoral college,,
FBE,BE02,PARTY,SP,Socialistische Partij,,
FBE,BE08,PARTY,Agalev,Anders Gaan Leven,,
FBE,BE07,PARTY,VU,Volksunie,,
FBE,BE03,PARTY,CVP-EVP,Christelijke Volkspartij - Christen-Democratisch en Vlaams,,
FBE,BE06,PARTY,PVV-ELD,Partij voor Vrijheid en Vooruitgang-Open Vlaamse Liberalen en Democraten,,
FBE,BE90,PARTY,Other parties F.,Other parties from Dutch-speaking electoral college,,
WBE,BE01,PARTY,PS,Parti Socialiste,,
WBE,BE09,PARTY,Ecolo-V,Ecologistes Confédérés pour I’organisation de luttes originales,,
WBE,BE04,PARTY,PSC-PPE,Parti Social Chrétien - Centre Démocrate Humaniste,,
WBE,BE05,PARTY,PRL,"Parti Réformateur Libéral ",,
WBE,BE90,PARTY,Other parties F.,Other parties from Dutch-speaking electoral college,,
DK,DK01,PARTY,S,Socialdemokratiet,,
DK,DK02,PARTY,Siumut,Siumut,,
DK,DK03,PARTY,CD,Centrum-Demokraterne,,
DK,DK04,PARTY,KF,Konservative Folkeparti,,
DK,DK05,PARTY,SF,Socialistisk Folkeparti,,
DK,DK06,PARTY,V,Venstre,,
DK,DK07,PARTY,FolkB.,Folkebevægelsen mod EU,,
DK,DK90,PARTY,Other parties,Other parties,,
DE,DE01,PARTY,SPD,Sozialdemokratische Partei Deutschlands,,
DE,DE02,PARTY,CDU,Christlich Demokratische Union Deutschlands,,
DE,DE03,PARTY,CSU,Christlich-Soziale Union in Bayern,,
DE,DE04,PARTY,Grüne,Bündnis 90 - Die Grünen,,
DE,DE90,PARTY,Other parties,Other parties,,
IE,IE01,PARTY,FG,Fine Gael,,
IE,IE02,PARTY,FF,Fianna Fáil,,
IE,IE90,PARTY,Other parties,Other parties,,
EL,EL01,PARTY,PASOK,Panellinio Sosialistiko Kinima,,
EL,EL02,PARTY,ND,Nea Dhimokratia,,
EL,EL03,PARTY,KKE,Kommunistiko Komma Elladas,,
EL,EL04,PARTY,E.P.EN,Ethniki Politiki Enosis,,
EL,EL90,PARTY,Other parties,Other parties,,
FR,FR01,PARTY,PS,Parti Socialiste,,
FR,FR02,PARTY,UDF,Union pour la Démocratie Française,,
FR,FR03,PARTY,CDS,Centre des Démocrates Sociaux,,
FR,FR04,PARTY,PCF,Parti Communiste Français,,
FR,FR05,PARTY,PR,Parti républicain,,
FR,FR06,PARTY,RPR,Rassemblement pour la République,,
FR,FR07,PARTY,CNIP,Centre national des indépendants et paysans,,
FR,FR08,PARTY,DCF,Démocratie chrétienne française,,
FR,FR09,PARTY,FN,Front National,,
FR,FR90,PARTY,Other parties,Other parties,,
IT,IT01,PARTY,PSI,Partito Socialista Italiano Alleanza Democratica ,,
IT,IT02,PARTY,PSDI," Partito Socialdemocratico",,
IT,IT03,PARTY,DC,Democrazia Cristiana,,
IT,IT04,PARTY,SVP,Südtiroler Volkspartei,,
IT,IT05,PARTY,PCI,Partito Comunista Italiano ,,
IT,IT06,PARTY,Ind. Sin,Indipendenti di Sinestra,,
IT,IT07,PARTY,PRI,Partito Repubblicano ,,
IT,IT08,PARTY,PLI,Partito Liberale Italiano,,
IT,IT09,PARTY,PCI,Partito Comunista Italiano ,,
IT,IT10,PARTY,DP,Democrazia Proletaria,,
IT,IT11,PARTY,UV-PSdA,Partito Sardo d'Azione,,
IT,IT12,PARTY,MSI-DN,Movimento Sociale Italiano – Destra Nazionale,,
IT,IT13,PARTY,PR, Partito Radicale,,
IT,IT90,PARTY,Other parties,Other parties,,
LU,LU01,PARTY,POSL,Parti Ouvrier Socialiste Luxembourgeois/Letzeburger Socialistesch Arbeiterpartei,,
LU,LU02,PARTY,PCS,Parti Chrétien Social/Chrëschtlech-Sozial Volleksparte,,
LU,LU03,PARTY,DP,Parti Démocratique/Demokratesch Partei,,
LU,LU90,PARTY,Other parties,Other parties,,
NL,NL01,PARTY,PvdA,Partij van de Arbeid (Europese Sociaaldemocraten),,
NL,NL02,PARTY,CDA,Christen Democratisch Appèl (Europese Volkspartij),,
NL,NL03,PARTY,VVD,Volkspartij voor Vrijheid en Democratie,,
NL,NL04,PARTY,PSP,Pacifistisch-Socialistische Partij,,
NL,NL05,PARTY,SGP,Staatkundig Gereformeerde Partij,,
NL,NL90,PARTY,Other parties,Other parties,,
UK,UK01,PARTY,Lab.,Labour Party,,
UK,UK02,PARTY,SDLP,Social Democratic and Labour Party ,,
UK,UK03,PARTY,Cons,Conservative Party ,,
UK,UK04,PARTY,UUP,Ulster Unionist Party,,
UK,UK05,PARTY,SNP,Scottish National Party ,,
UK,UK06,PARTY,DUP,Democratic Unionist Party ,,
UK,UK90,PARTY,Other parties NI,Other parties Northern Ireland,,
NI,UK02,PARTY,SDLP,Social Democratic and Labour Party ,,
NI,UK04,PARTY,UUP,Ulster Unionist Party,,
NI,UK06,PARTY,DUP,Democratic Unionist Party ,,
NI,UK90,PARTY,Other parties NI,Other parties Northern Ireland,,
GB,UK01,PARTY,Lab.,Labour Party,,
GB,UK03,PARTY,Cons,Conservative Party ,,
GB,UK05,PARTY,SNP,Scottish National Party ,,
GB,UK90,PARTY,Other parties NI,Other parties Northern Ireland,,
