DIVISION_ID,ID,TYPE,ACRONYM,LABEL,MEMBER_OF_COALITION,COALITION_MEMBERS
BE,BE01,PARTY,CD&V/N-VA,Christen-Democratisch en Vlaams / Nieuw-Vlaamse Alliantie,,
BE,BE02,PARTY,cdH,Centre Démocrate Humaniste,,
BE,BE03,PARTY,CSP,"Christeliche Soziale Partei ",,
BE,BE04,PARTY,PS,Parti Socialiste,,
BE,BE05,PARTY,S.PA-spirit,Socialistische Partij - Anders-Spirit,,
BE,BE06,PARTY,VLD/Vivant,Vlaamse Liberalen en Democraten and Vivant,,
BE,BE07,PARTY,MR (prl),Parti Réformateur Liberal,,
BE,BE08,PARTY,MR (mcc),Mouvement des Citoyens pour le Changement,,
BE,BE09,PARTY,Groen!,Groen!,,
BE,BE10,PARTY,ECOLO,Ecologistes Confédérés pour I’organisation de luttes originales,,
BE,BE11,PARTY,Vl. Blok,Vlaams Blok,,
BE,BE90,PARTY,Other parties F.,Other parties from Dutch-speaking electoral college,,
FBE,BE05,PARTY,L.A.,Socialistische Partij.Anders / Spirit,,
FBE,BE09,PARTY,Groen!,Groen!,,
FBE,BE01,PARTY,CD&V/N-VA,Christen-Democratisch en Vlaams / Nieuw-Vlaamse Alliantie,,
FBE,BE06,PARTY,VLD/Vivant,Vlaamse Liberalen en Democraten / Vivant,,
FBE,BE11,PARTY,Vl. Blok,Vlaams Blok,,
FBE,BE90,PARTY,Other parties F.,Other parties from Dutch-speaking electoral college,,
GBE,BE03,PARTY,CSP,"Christeliche Soziale Partei ",,
GBE,BE90,PARTY,Other parties F.,Other parties from Dutch-speaking electoral college,,
WBE,BE04,PARTY,PS,Parti Socialiste,,
WBE,BE10,PARTY,ECOLO,Ecologistes Confédérés pour I’organisation de luttes originales,,
WBE,BE02,PARTY,cdH,Centre Démocrate Humaniste,,
WBE,BE08,PARTY,MR (mcc),Mouvement des Citoyens pour le Changement,,
WBE,BE07,PARTY,MR (prl),Parti Réformateur Liberal,,
WBE,BE90,PARTY,Other parties F.,Other parties from Dutch-speaking electoral college,,
CZ,CZ01,PARTY,ODS,Občanská Demokratická Strana,,
CZ,CZ02,PARTY,SN/ED,SNK sdružení nezávislých a Evropští demokraté,,
CZ,CZ03,PARTY,KDU-ČSL,Křesťanská a demokratická unie - Československá strana lidová,,
CZ,CZ04,PARTY,"ČSSD ",Česká strana sociálně demokratická,,
CZ,CZ05,PARTY,"KSČM ",Komunistická strana Čech a Moravy,,
CZ,CZ06,PARTY,NEZ,Nezavisli,,
CZ,CZ90,PARTY,Other parties,Other parties,,
DK,DK01,PARTY,C (KF),Konservative Folkeparti,,
DK,DK02,PARTY,A (S),Socialdemokratiet,,
