DIVISION_ID,ID,TYPE,ACRONYM,LABEL,MEMBER_OF_COALITION,COALITION_MEMBERS
BE,BE01,PARTY,PS,Parti Socialiste,,
BE,BE02,PARTY,SP,Socialistische Partij,,
BE,BE03,PARTY,CVP-EVP,Christelijke Volkspartij - Christen-Democratisch en Vlaams,,
BE,BE04,PARTY,PSC-PPE,Parti Social Chrétien - Centre Démocrate Humaniste,,
BE,BE05,PARTY,PRL,"Parti Réformateur Libéral ",,
BE,BE06,PARTY,PVV-ELD,Partij voor Vrijheid en Vooruitgang-Open Vlaamse Liberalen en Democraten,,
BE,BE07,PARTY,VU,Volksunie,,
BE,BE08,PARTY,FDF-RW,Front Démocratique des Francophones-Rassemblement Wallon,,
BE,BE90,PARTY,Other parties F.,Other parties from Dutch-speaking electoral college,,
FBE,BE02,PARTY,SP,Socialistische Partij,,
FBE,BE07,PARTY,V.U,Volksunie,,
FBE,BE03,PARTY,CVP-EVP,Christelijke Volkspartij - Christen-Democratisch en Vlaams,,
FBE,BE06,PARTY,PVV-ELD,Partij voor Vrijheid en Vooruitgang-Open Vlaamse Liberalen en Democraten,,
FBE,BE90,PARTY,Other parties F.,Other parties from Dutch-speaking electoral college,,
WBE,BE01,PARTY,PS,Parti Socialiste,,
WBE,BE04,PARTY,PSC-PPE,Parti Social Chrétien - Centre Démocrate Humaniste,,
WBE,BE05,PARTY,PRL,"Parti Réformateur Libéral ",,
WBE,BE08,PARTY,FRF-RW,Front Démocratique des Francophones-Rassemblement Wallon,,
WBE,BE90,PARTY,Other parties F.,Other parties from Dutch-speaking electoral college,,
DK,DK01,PARTY,S,Socialdemokratiet,,
DK,DK02,PARTY,Siumut,Siumut,,
DK,DK03,PARTY,CD,Centrum-Demokraterne,,
DK,DK04,PARTY,KF,Konservative Folkeparti,,
DK,DK05,PARTY,SF,Socialistisk Folkeparti,,
DK,DK06,PARTY,V,Venstre,,
DK,DK07,PARTY,FolkB,Folkebevægelsen mod EU,,
DK,DK90,PARTY,Other parties,Other parties,,
DE,DE01,PARTY,SPD,Sozialdemokratische Partei Deutschlands,,
DE,DE02,PARTY,CDU,Christlich Demokratische Union,,
DE,DE03,PARTY,CSU,Christlich Soziale Union,,
DE,DE04,PARTY,F.D.P,Freie Demokratische Partei,,
DE,DE90,PARTY,Other parties,Other parties,,
IE,IE01,PARTY,Lab.,Páirtí an Lucht Oibre,,
IE,IE02,PARTY,FG,Fine Gael - The United Ireland Party,,
IE,IE03,PARTY,Ind.,Independent,,
IE,IE04,PARTY,FF,Fianna Fáil - An Páirtí Poblachtánach,,
IE,IE90,PARTY,Other parties,Other parties,,
EL,EL01,PARTY,PASOK,Panellinio Sosialistiko Kinima,,
EL,EL02,PARTY,ND,Nea Dhimokratia,,
EL,EL03,PARTY,KKE,Kommunistiko Komma Elladas,,
EL,EL04,PARTY,KO.DI.SO,Komma tou Dimokratikou Sosialismou,,
EL,EL05,PARTY,KP,Komma Proodeftikon,,
EL,EL90,PARTY,Other parties,Other parties,,
FR,FR01,PARTY,PS,Parti Socialiste,,
FR,FR02,PARTY,MRG,Movement des Radicaux de Gauche,,
FR,FR03,PARTY,UFE,Union pour la France en Europe,,
FR,FR04,PARTY,PCF,Parti Communiste Francais,,
FR,FR05,PARTY,DIFE,Défense des Intérêts de la France en Europe,,
FR,FR90,PARTY,Other parties,Other parties,,
IT,IT01,PARTY,PSI,Partito Socialista Italiano Alleanza Democratica ,,
IT,IT02,PARTY,PSDI," Partito Socialdemocratico",,
IT,IT03,PARTY,PR, Partito Radicale,,
IT,IT04,PARTY,DC,Democrazia Cristiana,,
IT,IT05,PARTY,SVP,Südtiroler Volkspartei,,
IT,IT06,PARTY,PCI,Partito Comunista Italiano ,,
IT,IT07,PARTY,Ind. Sin.,Indipendenti di Sinestra,,
IT,IT08,PARTY,PLI,Partito Liberale Italiano,,
IT,IT09,PARTY,PRI,Partito Repubblicano ,,
IT,IT10,PARTY,DP,Democrazia Proletaria,,
IT,IT11,PARTY,PDUP,Partito di Unità Proletaria,,
IT,IT12,PARTY,MSI-DN,Movimento Sociale Italiano – Destra Nazionale,,
IT,IT90,PARTY,Other parties,Other parties,,
LU,LU01,PARTY,POSL,Parti Ouvrier Socialiste Luxembourgeois/Letzeburger Socialistesch Arbeiterpartei,,
LU,LU02,PARTY,PCS,Parti Chrétien Social/Chrëschtlech-Sozial Volleksparte,,
LU,LU03,PARTY,DP,Parti Démocratique/Demokratesch Partei,,
LU,LU90,PARTY,Other parties,Other parties,,
NL,NL01,PARTY,PvdA,Partij van de Arbeid (Europese Sociaaldemocraten),,
NL,NL02,PARTY,CDA,Christen Democratisch Appèl (Europese Volkspartij),,
NL,NL03,PARTY,VVD,Volkspartij voor Vrijheid en Democratie,,
NL,NL04,PARTY,D66,Demokraten 66,,
NL,NL90,PARTY,Other parties,Other parties,,
UK,UK01,PARTY,Lab.,Labour Party,,
UK,UK02,PARTY,SDLP,Social Democratic and Labour Party ,,
UK,UK03,PARTY,Cons.,Conservative Party ,,
UK,UK04,PARTY,UUP,Ulster Unionist Party,,
UK,UK05,PARTY,SNP,Scottish National Party ,,
UK,UK06,PARTY,DUP,Democratic Unionist Party ,,
UK,UK90,PARTY,Other parties NI,Other parties Northern Ireland,,
NI,UK02,PARTY,SDLP,Social Democratic and Labour Party ,,
NI,UK04,PARTY,UUP,Ulster Unionist Party,,
NI,UK06,PARTY,DUP,Democratic Unionist Party ,,
NI,UK90,PARTY,Other parties NI,Other parties Northern Ireland,,
GB,UK01,PARTY,Lab.,Labour Party,,
GB,UK03,PARTY,Cons.,Conservative Party ,,
GB,UK05,PARTY,SNP,Scottish National Party ,,
GB,UK90,PARTY,Other parties NI,Other parties Northern Ireland,,
