DIVISION_ID,ID,TYPE,ACRONYM,LABEL,MEMBER_OF_COALITION,COALITION_MEMBERS
BE,BE01,PARTY,"CVP ",Christelijke Volkspartij,,
BE,BE02,PARTY,"PSC ",Parti Social Chrétien,,
BE,BE03,PARTY,"MCC ",Mouvement des Citoyens pour le Changement,,
BE,BE04,PARTY,CSP,"Christeliche soziale Partei ",,
BE,BE05,PARTY,"SP ",Socialistische Partij,,
BE,BE06,PARTY,"PS ",Parti Socialiste,,
BE,BE07,PARTY,"VLD ",Vlaamse Liberalen Demokraten,,
BE,BE08,PARTY,"PRL-FDF ",Parti Réformateur Liberal-Front Democratique Francophone,,
BE,BE09,PARTY,"AGALEV ",Anders gaan leven,,
BE,BE10,PARTY,"ECOLO ",Ecologistes Confédérés pour I’organisation de luttes originales,,
BE,BE11,PARTY,"VU-ID21  ",Integrale Democratie voor de 21ste eeuw,,
BE,BE12,PARTY,Vl. Blok,Vlaams Blok,,
BE,BE90,PARTY,Other parties F.,Other parties from Dutch-speaking electoral college,,
FBE,BE05,PARTY,"SP ",Socialistische Partij,,
FBE,BE09,PARTY,"AGALEV ",Anders gaan leven,,
FBE,BE11,PARTY,"VU-ID21  ",Integrale Democratie voor de 21ste eeuw,,
FBE,BE01,PARTY,"CVP ",Christelijke Volkspartij,,
FBE,BE07,PARTY,"VLD ",Vlaamse Liberalen Demokraten,,
FBE,BE12,PARTY,Vl. Blok,Vlaams Blok,,
FBE,BE90,PARTY,Other parties F.,Other parties from Dutch-speaking electoral college,,
GBE,BE04,PARTY,CSP,"Christeliche soziale Partei ",,
GBE,BE90,PARTY,Other parties F.,Other parties from Dutch-speaking electoral college,,
WBE,BE06,PARTY,"PS ",Parti Socialiste,,
WBE,BE10,PARTY,"ECOLO ",Ecologistes Confédérés pour I’organisation de luttes originales,,
WBE,BE02,PARTY,"PSC ",Parti Social Chrétien,,
WBE,BE03,PARTY,"MCC ",Mouvement des Citoyens pour le Changement,,
WBE,BE08,PARTY,"PRL-FDF ",Parti Réformateur Liberal-Front Democratique Francophone,,
WBE,BE90,PARTY,Other parties F.,Other parties from Dutch-speaking electoral college,,
DK,DK01,PARTY,KONS,Konservative Folkeparti,,
DK,DK02,PARTY,SOC,Socialdemokraterna,,
DK,DK03,PARTY,V,Venstre,,
DK,DK04,PARTY,RV,Radikale Venstre,,
DK,DK05,PARTY,SF,Socialistisk Folkeparti,,
